文献ID,大纲,综字数,述字数
,引言,186,152
10.18653/v1/2022.acl-long.277,图表资源解析,37,28
10.18653/v1/2022.findings-acl.177,图表资源解析,39,29
10.18653/v1/2024.findings-acl.463,图表资源解析,40,30
10.1109/access.2023.3298050,图表资源解析,35,26
10.1145/3656580,多模态表征与跨模态对齐,163,113
10.1109/access.2024.3444817,多模态表征与跨模态对齐,58,42
10.48550/arxiv.2203.14713,多模态表征与跨模态对齐,58,42
10.48550/arxiv.2301.12597,多模态表征与跨模态对齐,52,37
10.48550/arxiv.2201.12086,多模态表征与跨模态对齐,51,37
10.1007/s11633-022-1369-5,多模态表征与跨模态对齐,55,40
10.18653/v1/2023.findings-acl.552,多模态表征与跨模态对齐,59,43
10.1007/s11633-022-1410-8,多模态表征与跨模态对齐,53,39
10.48550/arxiv.2102.05918,多模态表征与跨模态对齐,20,15
10.18653/v1/2021.emnlp-main.544,多模态表征与跨模态对齐,20,15
10.48550/arxiv.2205.01917,多模态表征与跨模态对齐,22,16
10.18653/v1/2021.acl-long.202,多模态表征与跨模态对齐,22,17
10.18653/v1/2021.emnlp-main.595,多模态表征与跨模态对齐,20,15
10.18653/v1/2022.emnlp-main.488,多模态表征与跨模态对齐,22,17
10.48550/arxiv.2102.03334,多模态表征与跨模态对齐,19,14
10.18653/v1/2021.naacl-main.77,多模态表征与跨模态对齐,22,16
10.18653/v1/2020.emnlp-main.161,多模态表征与跨模态对齐,8,6
10.1609/aaai.v34i07.6915,多模态表征与跨模态对齐,7,5
10.1186/s40594-022-00377-5,工程教育与资源质量,57,43
10.3390/su12219145,工程教育与资源质量,55,41
10.1007/978-981-19-0351-9_43-1,工程教育与资源质量,22,17
10.1016/j.clet.2021.100388,工程教育与资源质量,19,15
10.3390/su152316433,工程教育与资源质量,20,16
10.1016/j.heliyon.2024.e25383,教育知识组织与资源构建,88,61
10.3390/info13020091,教育知识组织与资源构建,84,58
10.1007/s42979-024-03341-y,教育知识组织与资源构建,78,55
10.3390/info14100526,教育知识组织与资源构建,27,20
10.3390/app14072710,教育知识组织与资源构建,32,23
10.3390/electronics13132537,教育知识组织与资源构建,29,21
10.3991/ijet.v18i20.44213,教育知识组织与资源构建,12,9
10.3991/ijet.v17i14.32613,教育知识组织与资源构建,10,7
10.3233/sw-233467,证据约束与事实核验,63,46
10.48550/arxiv.2312.10997,证据约束与事实核验,63,46
10.18653/v1/2023.emnlp-main.741,证据约束与事实核验,64,47
10.18653/v1/2024.naacl-long.20,证据约束与事实核验,54,39
10.18653/v1/2024.emnlp-main.499,证据约束与事实核验,58,42
10.18653/v1/2023.emnlp-main.397,证据约束与事实核验,20,15
10.48550/arxiv.2311.05232,证据约束与事实核验,23,17
10.1145/3637528.3671470,证据约束与事实核验,21,16
10.18653/v1/2023.findings-emnlp.314,证据约束与事实核验,23,18
10.48550/arxiv.2202.03629,证据约束与事实核验,21,16
,讨论,186,152
,展望,186,152
,结论,186,152
