文献ID,大纲,综字数,述字数
,引言,516,422
10.1109/access.2026.3712272,仓储与冷链环境监测,84,62
10.1109/jsen.2023.3242618,仓储与冷链环境监测,66,49
10.3390/app9183895,仓储与冷链环境监测,52,39
10.1109/i2ct54291.2022.9825458,仓储与冷链环境监测,48,36
10.1109/jrfid.2024.3488534,仓储与冷链环境监测,52,39
10.1109/ic3it66137.2025.11341494,仓储与冷链环境监测,52,39
10.1111/jfpp.12730,仓储与冷链环境监测,42,32
10.1016/j.foodcont.2016.11.019,仓储与冷链环境监测,39,30
10.1016/j.compag.2016.12.019,仓储与冷链环境监测,38,29
10.5772/8006,仓储与冷链环境监测,30,23
10.3390/electronics8040423,仓储与冷链环境监测,30,23
10.1109/ap-s/inc-usnc-ursi52054.2024.10685869,仓储与冷链环境监测,30,23
10.37745/ejlpscm.2013/vol14n16874,仓储与冷链环境监测,29,23
10.1016/j.jfoodeng.2015.11.009,仓储与冷链环境监测,22,17
10.1016/j.foodcont.2018.01.027,仓储与冷链环境监测,23,18
10.1109/ipsn.2012.6920956,低功耗物联网与能效管理,60,46
10.3390/electronics11244071,低功耗物联网与能效管理,61,46
10.1109/ccnc.2009.4784847,低功耗物联网与能效管理,53,40
10.1109/access.2018.2881533,低功耗物联网与能效管理,47,36
10.1049/iet-wss.2018.5124,低功耗物联网与能效管理,47,36
10.1504/ijsnet.2024.10067288,低功耗物联网与能效管理,51,39
10.1145/1869983.1869990,低功耗物联网与能效管理,36,27
10.20944/preprints201912.0126.v1,低功耗物联网与能效管理,28,22
10.36227/techrxiv.21733358.v1,低功耗物联网与能效管理,27,21
10.36227/techrxiv.21733358,低功耗物联网与能效管理,28,22
10.36227/techrxiv.171441115.55562122/v1,低功耗物联网与能效管理,26,20
10.48175/ijarsct-28470,低功耗物联网与能效管理,27,21
10.1109/access.2019.2894126,供应链可见性、韧性与标准化,63,48
10.1080/13675567.2020.1757053,供应链可见性、韧性与标准化,63,48
10.1016/j.ijpe.2014.09.005,供应链可见性、韧性与标准化,48,37
10.3390/su16020742,供应链可见性、韧性与标准化,34,26
10.1108/ijlm-03-2017-0059,供应链可见性、韧性与标准化,28,22
10.1049/pbtr034e_ch3,供应链可见性、韧性与标准化,29,23
10.1109/access.2019.2940227,供应链可见性、韧性与标准化,24,19
10.3390/su152216014,供应链可见性、韧性与标准化,22,17
10.1109/access.2020.2984539,包装破损视觉识别与冲击监测,185,131
10.1016/j.ijbiomac.2026.152058,包装破损视觉识别与冲击监测,67,49
10.5307/jbe.2008.33.1.045,包装破损视觉识别与冲击监测,18,14
10.3390/pr7070424,包装破损视觉识别与冲击监测,13,11
10.3390/logistics7040082,包装破损视觉识别与冲击监测,13,10
10.1117/12.2222765,包装破损视觉识别与冲击监测,11,9
10.3390/app142412054,包装破损视觉识别与冲击监测,9,7
10.3390/sym17081182,包装破损视觉识别与冲击监测,8,7
10.1007/978-3-030-88662-2_11,多模态货物状态感知与防拆防盗,187,129
10.1109/lcnw.2013.6758496,多模态货物状态感知与防拆防盗,121,85
10.1109/sies.2018.8442087,多模态货物状态感知与防拆防盗,104,74
10.1109/coase.2007.4341790,多模态货物状态感知与防拆防盗,93,66
10.15837/ijccc.2011.4.2109,多模态货物状态感知与防拆防盗,95,68
10.1109/med.2009.5164585,多模态货物状态感知与防拆防盗,85,60
10.1109/indin.2006.275719,多模态货物状态感知与防拆防盗,55,40
10.1109/sahcn.2009.5168903,多模态货物状态感知与防拆防盗,55,40
10.1155/2016/5083074,多模态货物状态感知与防拆防盗,49,35
10.5220/0004705703510359,多模态货物状态感知与防拆防盗,45,33
NO-DOI-542,多模态货物状态感知与防拆防盗,47,34
10.5539/mas.v1n3p16,多模态货物状态感知与防拆防盗,33,25
10.1109/ths.2008.4534429,多模态货物状态感知与防拆防盗,33,24
10.1109/icmens.2004.1508930,多模态货物状态感知与防拆防盗,25,18
NO-DOI-526,多模态货物状态感知与防拆防盗,20,15
10.3991/ijoe.v14i01.8058,多模态货物状态感知与防拆防盗,20,15
10.1109/icievicivpr52578.2021.9564154,多模态货物状态感知与防拆防盗,21,16
10.1109/tim.2021.3117629,多模态货物状态感知与防拆防盗,21,16
10.34719/wwdt7647,多模态货物状态感知与防拆防盗,16,12
10.1007/s10257-022-00572-5,多模态货物状态感知与防拆防盗,17,13
10.3390/s23177448,多模态货物状态感知与防拆防盗,17,13
10.4067/s0718-18762013000200011,多模态货物状态感知与防拆防盗,12,9
10.1109/nems.2016.7758259,多模态货物状态感知与防拆防盗,12,9
10.3991/ijoe.v14i05.8645,多模态货物状态感知与防拆防盗,11,9
10.51867/aqssr.2.2.5,多模态货物状态感知与防拆防盗,12,10
10.3390/s19092078,弱网可靠传输与容迟网络,84,62
10.3390/s21113772,弱网可靠传输与容迟网络,93,69
10.1109/iccnc.2012.6167525,弱网可靠传输与容迟网络,52,39
10.1109/wimob.2019.8923146,弱网可靠传输与容迟网络,56,42
10.1109/ssci50451.2021.9660160,弱网可靠传输与容迟网络,55,42
10.1109/chinacom.2011.6158204,弱网可靠传输与容迟网络,43,33
10.1109/tnet.2010.2091968,弱网可靠传输与容迟网络,41,31
10.1109/metroind4.0iot66048.2025.11122097,弱网可靠传输与容迟网络,48,37
10.54254/2755-2721/2025.ld30345,弱网可靠传输与容迟网络,47,36
10.1109/wcnc.2009.4917536,弱网可靠传输与容迟网络,30,23
10.1109/lcomm.2013.022713.130123,弱网可靠传输与容迟网络,34,26
10.1533/9780857098467.2.139,弱网可靠传输与容迟网络,34,26
10.1109/ccwc.2017.7868422,弱网可靠传输与容迟网络,32,25
10.1109/icctec.2017.00299,弱网可靠传输与容迟网络,33,25
10.31202/ecjse.948125,弱网可靠传输与容迟网络,33,25
10.1109/pimrc.2016.7794849,弱网可靠传输与容迟网络,24,19
10.1109/wf-iot.2016.7845498,弱网可靠传输与容迟网络,24,19
10.1109/globecom38437.2019.9013987,弱网可靠传输与容迟网络,25,19
10.1109/lcn53696.2022.9843211,弱网可靠传输与容迟网络,23,18
10.3390/fi16060183,弱网可靠传输与容迟网络,23,18
10.1155/2023/6909801,港口场站数字孪生与状态同步,121,87
10.1016/j.procs.2024.09.361,港口场站数字孪生与状态同步,94,68
10.3390/pr11072223,港口场站数字孪生与状态同步,84,61
10.1007/s10696-023-09515-9,港口场站数字孪生与状态同步,80,59
10.1115/detc2022-89833,港口场站数字孪生与状态同步,58,43
10.1109/access.2023.3295495,港口场站数字孪生与状态同步,63,46
10.3389/fmars.2024.1455522,港口场站数字孪生与状态同步,62,46
10.3390/computers13060138,港口场站数字孪生与状态同步,58,43
10.3390/logistics9040153,港口场站数字孪生与状态同步,61,45
10.3390/asi4020029,港口场站数字孪生与状态同步,43,32
10.1155/2021/1936764,港口场站数字孪生与状态同步,46,34
10.1108/ijlm-01-2023-0030,港口场站数字孪生与状态同步,47,35
10.5220/0010676800003062,港口场站数字孪生与状态同步,36,27
10.1109/percomworkshops56833.2023.10150378,港口场站数字孪生与状态同步,35,26
10.1109/access.2024.3354838,港口场站数字孪生与状态同步,34,26
10.3384/9789180755726,港口场站数字孪生与状态同步,35,26
10.1080/23789689.2025.2526928,港口场站数字孪生与状态同步,37,28
10.67228/30715636/ijetmr-2024pi4k7x,港口场站数字孪生与状态同步,29,22
10.1007/s13437-024-00349-2,港口场站数字孪生与状态同步,30,23
10.1109/access.2020.2998358,港口场站数字孪生与状态同步,21,16
10.1007/s10845-020-01689-5,港口场站数字孪生与状态同步,22,17
10.3390/math11122678,港口场站数字孪生与状态同步,21,16
10.1109/jsyst.2023.3340422,港口场站数字孪生与状态同步,21,16
10.1093/iti/liad022,港口场站数字孪生与状态同步,22,17
10.1109/icdsca59871.2023.10392494,港口场站数字孪生与状态同步,15,12
10.4018/978-1-6684-9848-4.ch003,港口场站数字孪生与状态同步,16,13
10.1145/3802463.3802486,港口场站数字孪生与状态同步,15,12
,讨论,516,422
,展望,516,422
,结论,516,422
