文献ID,大纲,综字数,述字数
,引言,516,422
10.1109/access.2026.3712272,仓储与冷链环境监测,77,57
10.1109/jsen.2023.3242618,仓储与冷链环境监测,65,49
10.3390/app9183895,仓储与冷链环境监测,47,36
10.1109/i2ct54291.2022.9825458,仓储与冷链环境监测,51,38
10.1109/jrfid.2024.3488534,仓储与冷链环境监测,53,40
10.1109/ic3it66137.2025.11341494,仓储与冷链环境监测,54,41
10.1111/jfpp.12730,仓储与冷链环境监测,41,31
10.1016/j.foodcont.2016.11.019,仓储与冷链环境监测,42,32
10.1016/j.compag.2016.12.019,仓储与冷链环境监测,38,29
10.5772/8006,仓储与冷链环境监测,30,23
10.3390/electronics8040423,仓储与冷链环境监测,30,23
10.1109/ap-s/inc-usnc-ursi52054.2024.10685869,仓储与冷链环境监测,33,25
10.37745/ejlpscm.2013/vol14n16874,仓储与冷链环境监测,31,24
10.1016/j.jfoodeng.2015.11.009,仓储与冷链环境监测,24,19
10.1016/j.foodcont.2018.01.027,仓储与冷链环境监测,22,17
10.1109/ipsn.2012.6920956,低功耗物联网与能效管理,57,43
10.3390/electronics11244071,低功耗物联网与能效管理,65,49
10.1109/ccnc.2009.4784847,低功耗物联网与能效管理,53,40
10.1109/access.2018.2881533,低功耗物联网与能效管理,48,37
10.1049/iet-wss.2018.5124,低功耗物联网与能效管理,46,35
10.1504/ijsnet.2024.10067288,低功耗物联网与能效管理,50,38
10.1145/1869983.1869990,低功耗物联网与能效管理,37,28
10.20944/preprints201912.0126.v1,低功耗物联网与能效管理,28,22
10.36227/techrxiv.21733358.v1,低功耗物联网与能效管理,27,21
10.36227/techrxiv.21733358,低功耗物联网与能效管理,27,21
10.36227/techrxiv.171441115.55562122/v1,低功耗物联网与能效管理,27,21
10.48175/ijarsct-28470,低功耗物联网与能效管理,26,20
10.1109/access.2019.2894126,供应链可见性、韧性与标准化,59,45
10.1080/13675567.2020.1757053,供应链可见性、韧性与标准化,59,45
10.1016/j.ijpe.2014.09.005,供应链可见性、韧性与标准化,52,40
10.3390/su16020742,供应链可见性、韧性与标准化,37,29
10.1108/ijlm-03-2017-0059,供应链可见性、韧性与标准化,27,22
10.1049/pbtr034e_ch3,供应链可见性、韧性与标准化,31,24
10.1109/access.2019.2940227,供应链可见性、韧性与标准化,23,19
10.3390/su152216014,供应链可见性、韧性与标准化,22,17
10.1109/access.2020.2984539,包装破损视觉识别与冲击监测,187,132
10.1016/j.ijbiomac.2026.152058,包装破损视觉识别与冲击监测,64,47
10.5307/jbe.2008.33.1.045,包装破损视觉识别与冲击监测,18,14
10.3390/pr7070424,包装破损视觉识别与冲击监测,14,11
10.3390/logistics7040082,包装破损视觉识别与冲击监测,13,10
10.1117/12.2222765,包装破损视觉识别与冲击监测,11,9
10.3390/app142412054,包装破损视觉识别与冲击监测,9,7
10.3390/sym17081182,包装破损视觉识别与冲击监测,9,7
10.1007/978-3-030-88662-2_11,多模态货物状态感知与防拆防盗,182,126
10.1109/lcnw.2013.6758496,多模态货物状态感知与防拆防盗,126,88
10.1109/sies.2018.8442087,多模态货物状态感知与防拆防盗,107,75
10.1109/coase.2007.4341790,多模态货物状态感知与防拆防盗,86,61
10.15837/ijccc.2011.4.2109,多模态货物状态感知与防拆防盗,99,70
10.1109/med.2009.5164585,多模态货物状态感知与防拆防盗,88,63
10.1109/indin.2006.275719,多模态货物状态感知与防拆防盗,51,37
10.1109/sahcn.2009.5168903,多模态货物状态感知与防拆防盗,57,41
10.1155/2016/5083074,多模态货物状态感知与防拆防盗,49,36
10.5220/0004705703510359,多模态货物状态感知与防拆防盗,43,31
NO-DOI-542,多模态货物状态感知与防拆防盗,46,34
