文献ID,大纲,综字数,述字数
,引言,186,152
10.48550/arxiv.2107.07511,不确定性与泛化,35,24
manual:ovadia2019,不确定性与泛化,40,27
manual:guo2017,不确定性与泛化,36,25
10.1109/tpami.2022.3195549,不确定性与泛化,38,26
10.1145/3640342,任务导向传输,38,26
10.1109/access.2022.3231039,任务导向传输,39,27
10.1109/iccworkshops57953.2023.10283786,任务导向传输,36,25
10.1109/jsac.2021.3065072,任务导向传输,37,25
10.1007/s11633-023-1459-z,多模态异常检测,34,24
10.5220/0010865000003124,多模态异常检测,37,26
10.1109/cvpr52733.2024.01631,多模态异常检测,37,25
10.1109/cvpr52729.2023.00776,多模态异常检测,41,28
10.1109/tpami.2023.3275156,多模态鲁棒感知,37,26
manual:cml2023,多模态鲁棒感知,39,27
10.1109/cvpr52688.2022.01764,多模态鲁棒感知,37,25
10.1109/tpami.2018.2798607,多模态鲁棒感知,35,24
10.1016/j.inffus.2019.02.010,多模态鲁棒感知,40,27
10.1145/863955.863960,弱网可靠传输,37,26
10.3390/s24092845,时序异常检测,37,25
10.1109/jsen.2024.3480133,时序异常检测,35,24
10.1109/jsen.2024.3452088,时序异常检测,38,26
10.1109/tifs.2024.3459631,时序异常检测,38,26
10.1145/3691338,时序异常检测,40,27
10.52202/075280-0473,时序异常检测,38,26
manual:anomalytransformer2022,时序异常检测,38,26
10.52202/079017-3437,时序异常检测,38,26
10.52202/075280-2525,时序异常检测,37,25
10.1371/journal.pone.0315322,物流场景与需求,34,23
10.1016/j.procs.2024.09.084,物流场景与需求,34,23
10.1016/j.comnet.2025.111627,物流场景与需求,41,28
10.1016/j.iot.2023.100982,物流场景与需求,40,27
10.1016/j.iot.2024.101324,物流场景与需求,36,24
10.1016/j.trpro.2023.11.831,物流场景与需求,40,27
10.1016/j.cie.2022.108455,物流场景与需求,37,25
10.1016/j.aei.2024.102444,物流场景与需求,34,23
10.1109/access.2021.3072916,物流场景与需求,40,27
10.1016/j.jfoodeng.2015.11.009,物流场景与需求,38,26
10.1016/j.ssci.2022.105766,物流场景与需求,40,28
10.1080/00207543.2017.1402140,物流场景与需求,38,26
10.1016/j.cie.2020.107076,物流场景与需求,34,23
manual:mcunet2020,端侧轻量推理,37,25
10.1109/edge60047.2023.00032,端侧轻量推理,38,26
10.1016/j.iot.2024.101063,端侧轻量推理,39,27
10.1016/j.iot.2024.101263,端侧轻量推理,35,24
10.1109/jproc.2019.2918951,边缘协同,37,26
10.23919/jcin.2021.9475121,边缘协同,39,27
10.1109/comst.2017.2682318,边缘协同,35,24
10.1109/jiot.2016.2579198,边缘协同,40,27
10.1016/j.jnca.2022.103341,边缘协同,39,27
10.1109/comst.2017.2745201,边缘协同,34,23
,讨论,186,152
,展望,186,152
,结论,186,152
